resourceId,name,area,description,resourceCategoryId,resourceModel,feeScheduleId,order,maxStay,minCapacity,maxCapacity,zoneCapacity,allowedEquipment,Adjacent To,Barrier Free,Conditions,Cooking Facilities,Dogs Allowed,Double Site,Electrical Service,Exposure,Fee Type,Fire Pit,Fire Pit Available,Fire Pit Location,Ground Cover,Number of Tent Pads,Obstructions,Off-Site Vehicle Parking,On-Site Vehicle Parking,Pad Slope,Park-Private,Picnic Table,Privacy,Pull-through,Quality,Restrictions,Roofed Barrier Free,Rooms,Service Type,Shoreline Access,Shower Distance (m),Shower Type,Site Length (m),Site Shade,Site Width (m),Sleeping Configuration,Swimming Conditions,Toilet,Toilet Distance (m),Toilet Type,Water Tap,Water Tap Distance (m),photo1,photo2,photo3,photo4,photo5,photo6
-2147475338,H22 Moose Pass,Moose Pass,,-2147483640,2,-32736,9220,,1,6,1,,,No,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2147475210,H23 Moose Pass,Moose Pass,,-2147483640,2,-32736,9230,,1,6,1,,,No,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2147459699,71 - Muriel Lake,Muriel Lake,,-2147483641,2,-32736,3710,,1,9,1,,Body of Water,No,Split Level Site,,,No,,"South, West",Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",3,"Tree(s), Hill",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/0f4b2d6c-0ae9-4d02-b679-8c782a8bab7a.jpg,https://reservations.ontarioparks.ca/images/d3ec3466-4370-49b8-bffc-afb592e56e3e.jpg,https://reservations.ontarioparks.ca/images/07a4af99-e6a5-4d20-8530-07a907007d48.jpg,https://reservations.ontarioparks.ca/images/d475fb1a-098d-429d-96f0-c0efe92e4c7a.jpg,https://reservations.ontarioparks.ca/images/7ca066cf-5590-43ac-bb62-28368c4105ad.jpg,
-2147459698,72 - Muriel Lake,Muriel Lake,,-2147483641,2,-32736,3720,,1,9,1,,Body of Water,No,,,,No,,"East, South",Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",4,Tree(s),,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade,,,"Rock Shoreline, Soft Bottom",,,Privy Box,,,https://reservations.ontarioparks.ca/images/e8f71f71-9ec7-4652-85a9-cebec44bfa8d.jpg,https://reservations.ontarioparks.ca/images/708cd7d9-987c-4688-9bc2-6528d952f635.jpg,https://reservations.ontarioparks.ca/images/86cac9e1-f24c-46fc-a510-fad63931c125.jpg,https://reservations.ontarioparks.ca/images/525085e7-3c1a-4ca1-8d1d-651121834c38.jpg,https://reservations.ontarioparks.ca/images/2282b7da-d313-4cad-a531-0dc726ec9da3.jpg,
-2147459611,221 - Murray Lake,Murray Lake,,-2147483641,2,-32736,5210,,1,9,1,,Body of Water,No,,,,No,,East,Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,"Weeds Present, Rock Shoreline",,,Privy Box,,,https://reservations.ontarioparks.ca/images/3f8d14fe-21d1-4edb-ab2c-1290f853cb1a.jpg,https://reservations.ontarioparks.ca/images/806f40dd-ab6d-44a7-8bde-0882a2c260b0.jpg,https://reservations.ontarioparks.ca/images/3a37b634-36b0-4884-9832-ab4d6a9a1324.jpg,https://reservations.ontarioparks.ca/images/3d7da61a-ce10-4c2b-9ca1-ac6ed403f81a.jpg,,
-2147459610,222 - Murray Lake,Murray Lake,,-2147483641,2,-32736,5220,,1,9,1,,Body of Water,No,,,,No,,South,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,"Weeds Present, Rock Shoreline",,,Privy Box,,,https://reservations.ontarioparks.ca/images/63808226-cb41-4d31-a447-3630b5bbfeb9.jpg,https://reservations.ontarioparks.ca/images/98470e2b-7e2d-4e78-bfff-be717795ad64.jpg,https://reservations.ontarioparks.ca/images/3b355ed4-4f43-41cc-989f-257e79455a4d.jpg,https://reservations.ontarioparks.ca/images/7f7a3663-151b-4e14-b502-8d56a4c2e412.jpg,,
-2147459609,223 - Murray Lake,Murray Lake,,-2147483641,2,-32736,5230,,1,9,1,,Body of Water,No,,,,No,,"North, West",Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",3,"Tree(s), Root(s)",,,Moderate,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/656dcc94-7f33-4f6e-8d2e-4ba36bfdeb6e.jpg,https://reservations.ontarioparks.ca/images/3f0d4755-fab0-44f7-a379-3bfb35a63a82.jpg,https://reservations.ontarioparks.ca/images/d9561092-24e7-4055-a902-717b3da5a8a6.jpg,,,
-2147459622,204 - Nellie Lake,Nellie Lake,,-2147483641,2,-32736,5040,,1,9,1,,Body of Water,No,,,,No,,West,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Rock(s), Tree(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/da77666c-d1bd-4825-b9b5-25a4f314d720.jpg,https://reservations.ontarioparks.ca/images/8b59f9da-55e1-4b1e-bebb-a9755210c007.jpg,https://reservations.ontarioparks.ca/images/028606f8-22d2-4c62-a261-ad9f6f4cfba8.jpg,https://reservations.ontarioparks.ca/images/a06d37c3-e2c7-4510-b271-7827070f120a.jpg,https://reservations.ontarioparks.ca/images/4a92085c-92fa-4e19-aaba-e121ab1bfbc3.jpg,https://reservations.ontarioparks.ca/images/d0bab313-c893-432f-bcc2-469a7d006649.jpg
-2147459621,205 - Nellie Lake,Nellie Lake,,-2147483641,2,-32736,5050,,1,9,1,,Body of Water,No,,,,No,,South,Regular Rate,Rocks,Yes,Centre,"Gravel, Soil",4,Tree(s),,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/f257e6f4-6e39-4402-bd3d-b60c89e1aed0.jpg,https://reservations.ontarioparks.ca/images/21ec6123-a93f-49f2-b18b-5817b4419288.jpg,https://reservations.ontarioparks.ca/images/ac317159-43fd-40aa-a5b0-1c455eb4f4ce.jpg,,,
-2147459620,206 - Nellie Lake,Nellie Lake,,-2147483641,2,-32736,5060,,1,9,1,,Body of Water,No,,,,No,,West,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/7c18d307-03f8-4192-b5b1-fd7765e11cb8.jpg,https://reservations.ontarioparks.ca/images/a85ecdd1-27fc-4835-a0ce-df18676c673d.jpg,https://reservations.ontarioparks.ca/images/edbcd27a-9195-4226-8cbf-d262ec01729f.jpg,,,
